Q,slippage_bps,net_PnL,IS_bps
1000.0,10.01,99.9,9.99
6210.526315789473,62.490969529085866,-2638.912844437964,-42.490969529085866
11421.052631578947,115.51493074792243,-10908.810511736403,-95.51493074792243
16631.57894736842,169.0818836565097,-24794.67117655635,-149.0818836565097
21842.105263157893,223.19182825484762,-44381.37301355882,-203.19182825484762
27052.631578947367,277.8447645429362,-69753.79419740484,-257.8447645429362
32263.15789473684,333.04069252077556,-100996.81290275548,-313.04069252077556
37473.68421052631,388.7796121883656,-138195.30730427173,-368.77961218836555
42684.21052631579,445.06152354570634,-181434.15557661463,-425.0615235457064
47894.73684210526,501.88642659279776,-230798.2358944452,-481.88642659279776
53105.26315789473,559.2543213296398,-286372.42643242446,-539.2543213296398
58315.789473684206,617.1652077562327,-348241.6053652136,-597.1652077562327
63526.31578947368,675.6190858725761,-416490.6508674733,-655.619085872576
68736.84210526315,734.6159556786702,-491204.44111386477,-714.6159556786702
73947.36842105263,794.1558171745152,-572467.8542790493,-774.155817174515
79157.8947368421,854.2386703601107,-660365.7685376876,-834.2386703601106
84368.42105263157,914.864515235457,-754983.0620644407,-894.864515235457
89578.94736842104,976.0333518005539,-856404.6130339697,-956.0333518005539
94789.47368421052,1037.7451800554015,-964715.2996209357,-1017.7451800554014
100000.0,1100.0,-1080000.0,-1080.0
